kuchnia,rynek,balkon,liczba_pieter_budynku,rok_budowy,miasto,liczba_pokoi,wykonczenie,ulica,pietro,rodzaj_zabudowy,powierzchnia,dzielnica,forma-wlasnosci,adres,serwis,material_budynku,oferta,ogrzewanie,winda,czynsz,typ_ogrzewania,dodatkowe_informacje,ulica_i_nr
-1,-1,-1,4,1906,-1,1,-1,-1,2,-1,17.39,-1,-1,"Sopot, Dolny, Sopot, Józefa, Czyżewskiego",trojmiasto,-1,-1,-1,-1,-1,-1,"Winda, Piwnica, Internet",-1
-1,-1,-1,12,2000,-1,3,-1,-1,3,-1,72.0,-1,-1,"Gdynia, Witomino, Niska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Siła, Kuchnia","80-229 gdańsk, al. grunwaldzka 30/32 (wrzeszcz)"
-1,-1,-1,12,2021,-1,3,-1,-1,5,-1,68.74,-1,-1,"Gdańsk, Przymorze, Dąbrowszczaków",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Garaż, Winda, Piwnica, Miejsce parkingowe, Internet",-1
-1,wtórny,-1,3,2001,Gdańsk,3,dozamieszkania,-1,3,blok,61.78,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Ujeścisko",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,2,-1,-1,3,-1,38.0,-1,-1,"Gdańsk, Przymorze, Kołobrzeska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Piwnica",-1
-1,-1,-1,3,2011,-1,2,-1,-1,Parter,-1,52.6,-1,-1,"Gdańsk, Jasień, Życzliwa",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Winda, Taras, Ogródek, Piwnica, Internet, Kuchnia, Aneks kuchenny, Podjazd dla niepełnosprawnych, Komórka lokatorska, Osiedle zamknięte","83-000 pruszcz gdański, fryderyka chopina 38/8"
brak,wtórny,-1,3,2012,Gdańsk,2,dozamieszkania,-1,0,apartamentowiec,43.5,-1,-1,"Gdańsk, Śródmieście, Pohulanka",otodom,-1,Oferta biura nieruchomości,-1,1,-1,-1,-1,-1
-1,-1,-1,5,2007,-1,3,-1,-1,1,-1,70.0,-1,-1,"Gdynia, Grabówek, Jacka, Kaczmarskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Miejsce parkingowe",-1
-1,-1,-1,3,1940,-1,2,-1,-1,Parter,-1,43.5,-1,-1,"Gdańsk, Wrzeszcz, Jana, Kochanowskiego",trojmiasto,-1,-1,-1,-1,-1,-1,"Siła, Piwnica, Internet, Aneks kuchenny",-1
brak,wtórny,-1,17,2018,Gdańsk,2,dozamieszkania,-1,11,apartamentowiec,44.0,-1,-1,"Gdańsk, Śródmieście, Wałowa",otodom,-1,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
-1,-1,-1,3,1950,-1,2,-1,-1,1,-1,45.8,-1,-1,"Gdańsk, Śródmieście, Kozia",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Miejsce parkingowe, Internet, Kuchnia","80-241 gdańsk, al. grunwaldzka 67/2"
-1,-1,-1,2,1935,Sopot,1,-1,-1,2,kamienica,42.0,dolnysopot,-1,"Sopot,DolnySopot,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
brak,pierwotny,-1,3,2021,Gdynia,2,-1,-1,1,apartamentowiec,38.73,-1,-1,"Gdynia, Mały Kack, ul. Lidzka",otodom,-1,Oferta biura nieruchomości,gazowe,1,-1,-1,-1,-1
-1,wtórny,-1,4,1901,Gdańsk,2,-1,-1,3 / 4 ,kamienica,86.27,dolne miasto,-1,"gdańsk, dolne miasto, -1",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1928,-1,2,-1,-1,2,-1,50.77,-1,-1,"Sopot, Dolny, Sopot, Niepodległości",trojmiasto,-1,-1,-1,-1,-1,-1,"Siła, Piwnica, Internet, Kuchnia",-1
-1,-1,-1,3,2022,-1,5,-1,-1,2,-1,122.35,-1,-1,"Gdańsk, Siedlce, Jacka, Malczewskiego",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Garaż, Winda, Taras, Piwnica, Miejsce parkingowe",-1
brak,pierwotny,-1,2,2020,Gdynia,3,dowykończenia,-1,1,blok,52.69,-1,-1,"Gdynia, Chylonia, ul. Masztowa",otodom,silikat,Oferta dewelopera,gazowe,0,-1,-1,-1,-1
-1,-1,-1,12,2019,-1,3,-1,-1,12,-1,74.0,-1,-1,"Gdańsk, Wrzeszcz, Grudziądzka",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Winda, Ogródek, Gaz, Kanalizacja, Piwnica, Miejsce parkingowe, Internet",-1
brak,wtórny,-1,4,2016,Gdańsk,2,dozamieszkania,-1,4,-1,43.54,-1,-1,"Gdańsk, Zaspa, Powstańców Wielkopolskich",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,3,1936,-1,3,-1,-1,3,-1,75.4,-1,-1,"Gdynia, Wzgórze, Maksymiliana, Marsz, Piłsudskiego",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Siła, Piwnica, Internet, Kuchnia",-1
-1,-1,-1,4,2014,-1,2,-1,-1,Parter,-1,47.78,-1,-1,"Gdańsk, Biskupia, Górka, Pohulanka",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Winda, Ogródek, Woda, Kanalizacja, Miejsce parkingowe, Internet",-1
-1,wtórny,tak ,3,2003,Sopot,1,-1,bohaterów monte cassino,1 / 3 ,-1,34.85,dolny,-1,"sopot, dolny, bohaterów monte cassino",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,tak ,4,2007,Gdynia,2,-1,stanisława wyspiańskiego,1 / 4 ,apartamentowiec,45.0,kamienna góra,-1,"gdynia, kamienna góra, stanisława wyspiańskiego",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,1998,-1,3,-1,-1,3,-1,78.6,-1,-1,"Gdynia, Dąbrowa, Poziomkowa",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Piwnica, Internet, Kuchnia, Dwupoziomowe",-1
-1,-1,-1,4,1980,-1,2,-1,-1,3,-1,46.0,-1,-1,"Gdynia, Leszczynki, Morska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,-1,-1
brak,wtórny,-1,3,2013,Gdańsk,2,dozamieszkania,-1,3,blok,41.0,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Łostowice",otodom,-1,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
-1,wtórny,-1,3,2004,Gdańsk,3,dozamieszkania,-1,3,blok,108.9,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Ujeścisko",otodom,pustak,Oferta biura nieruchomości,miejskie,0,850.0,-1,-1,-1
-1,-1,-1,4,1970,-1,3,-1,-1,2,-1,57.0,-1,-1,"Gdańsk, Brzeźno, Dworska",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
-1,-1,-1,13,2015,-1,3,-1,-1,1,-1,88.0,-1,-1,"Gdynia, Wzgórze, Maksymiliana, Norwida",trojmiasto,-1,-1,-1,-1,-1,Centralne,"Taras, Piwnica","80-034 gdańsk, anny jagiellonki 34/6"
-1,-1,-1,12,2021,-1,3,-1,-1,1,-1,62.18,-1,-1,"Gdańsk, Przymorze, Lecha, Kaczyńskiego",trojmiasto,-1,-1,-1,-1,-1,Miejskie,"Balkon, Winda, Miejsce parkingowe, Internet",-1
-1,-1,-1,11,1978,-1,2,-1,-1,5,-1,48.2,-1,-1,"Gdańsk, Zaspa, Ciołkowskiego, Konstantego",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Winda, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
-1,-1,-1,2,2002,-1,2,-1,-1,1,-1,49.8,-1,-1,"Gdańsk, Morena, Myśliwska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Woda, Kanalizacja, Miejsce parkingowe, Internet",-1
-1,-1,-1,2,1938,-1,2,-1,-1,1,-1,63.7,-1,-1,"Gdynia, Oksywie, Płk, Dąbka",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Piwnica, Miejsce parkingowe, Internet",-1
brak,wtórny,-1,4,2010,Gdynia,2,-1,-1,4,-1,51.0,-1,-1,"Gdynia, Pogórze, Tadeusza Kościuszki",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,3,2018,-1,2,-1,-1,Parter,-1,46.0,-1,-1,"Gdańsk, Przymorze, Piastowska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Garaż, Winda, Siła, Piwnica, Aneks kuchenny",-1
-1,-1,-1,4,2019,-1,4,-1,-1,2,-1,82.0,-1,-1,"Gdańsk, Śródmieście, Kotwiczników",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Garaż, Winda, Siła, Aneks kuchenny",-1
-1,-1,-1,12,2019,-1,3,-1,-1,8,-1,65.0,-1,-1,"Gdańsk, Brzeźno, Gen, Józefa, Hallera",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Miejsce parkingowe",-1
-1,-1,-1,3,1950,-1,1,-1,-1,3,-1,28.0,-1,-1,"Gdańsk, Śródmieście, Szeroka",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Gaz, Woda, Kanalizacja, Piwnica, Miejsce parkingowe, Internet",-1
-1,-1,-1,10,1971,Gdańsk,2,-1,-1,8,-1,37.3,-1,-1,"Gdańsk, Orunia",trojmiasto,-1,-1,-1,-1,-1,-1,-1,Rzeczypospolitej 8/205
brak,wtórny,-1,2,2007,Gdynia,3,dozamieszkania,-1,1,apartamentowiec,81.0,-1,-1,"Gdynia, Mały Kack, Kłajpedzka",otodom,-1,Oferta biura nieruchomości,inne,1,-1,-1,-1,-1
-1,-1,-1,4,2019,-1,3,-1,-1,1,-1,64.9,-1,-1,"Gdańsk, Osowa, Diany",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Siła, Miejsce parkingowe, Internet, Aneks kuchenny",-1
-1,-1,-1,4,2018,-1,3,-1,-1,1,-1,65.06,-1,-1,"Gdańsk, Wrzeszcz",trojmiasto,-1,-1,-1,-1,-1,Miejskie,-1,-1
-1,wtórny,tak ,3,1905,Sopot,3,-1,jana sobieskiego,3 / 3 ,-1,98.2,dolny,-1,"sopot, dolny, jana sobieskiego",morizon,-1,-1,-1,-1,-1,-1,-1,-1
oddzielna,-1,-1,4,2007,Gdańsk,4,-1,-1,4,apartamentowiec,106.0,wrzeszcz,-1,"Gdańsk,Wrzeszcz,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,2012,-1,2,-1,-1,Parter,-1,43.5,-1,-1,"Gdańsk, Biskupia, Górka, Pohulanka",trojmiasto,-1,-1,-1,-1,-1,-1,Winda,-1
-1,-1,-1,11,1975,-1,3,-1,-1,5,-1,40.0,-1,-1,"Gdańsk, Wrzeszcz, Baczyńskiego",trojmiasto,-1,-1,-1,-1,-1,Centralne,"Balkon, Piwnica, Aneks kuchenny",-1
-1,-1,-1,1,2019,-1,3,-1,-1,1,-1,66.42,-1,-1,"Gdynia, Śródmieście, Szkolna",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Ogródek, Gaz, Woda, Miejsce parkingowe, Internet",-1
-1,-1,-1,0,1920,-1,2,-1,-1,2,-1,45.0,-1,-1,"Sopotdolny, Władysława",trojmiasto,-1,-1,-1,-1,-1,Centralne,-1,-1
brak,wtórny,-1,4,1980,Gdańsk,2,dozamieszkania,-1,1,blok,43.76,-1,-1,"Gdańsk, Brzeźno",otodom,-1,Oferta biura nieruchomości,miejskie,0,360.0,-1,-1,-1
-1,-1,-1,4,2012,-1,3,-1,-1,4,-1,63.0,-1,-1,"Gdańsk, Śródmieście, Tandeta",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Garaż, Winda, Taras, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
-1,wtórny,-1,10,1965,Gdańsk,3,dozamieszkania,-1,0,blok,53.0,-1,-1,"Gdańsk, Oliwa, Wita Stwosza",otodom,wielka płyta,Oferta biura nieruchomości,miejskie,1,650.0,-1,-1,-1
-1,-1,-1,6,2019,-1,2,-1,-1,1,-1,53.5,-1,-1,"Gdańsk, Długie, Ogrody, Św, Barbary",trojmiasto,-1,-1,-1,-1,-1,-1,Winda,-1
w aneksie,-1,-1,4,2016,Gdańsk,2,-1,-1,0,apartamentowiec,47.0,pomorskie,-1,"Gdańsk,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,10,1975,-1,2,-1,-1,1,-1,38.0,-1,-1,"Gdańsk, Przymorze, Rzeczypospolitej",trojmiasto,-1,-1,-1,-1,-1,-1,Winda,-1
-1,-1,-1,3,2014,-1,3,-1,-1,3,-1,98.0,-1,-1,"Gdynia, Wiczlino, Filipkowskiego, Stanisława",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Garaż, Winda, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
brak,pierwotny,-1,3,2020,Sopot,3,dowykończenia,-1,2,-1,50.0,-1,-1,"inż. J. Śmidowicza, Sopot, pomorskie",otodom,-1,Oferta biura nieruchomości,-1,1,-1,-1,-1,-1
-1,-1,-1,3,1940,-1,2,-1,-1,Parter,-1,43.5,-1,-1,"Gdańsk, Wrzeszcz, Jana, Kochanowskiego, 16",trojmiasto,-1,-1,-1,-1,-1,Centralne,-1,-1
-1,pierwotny,-1,4,2019,Gdańsk,4,deweloperski,"jasień,",3 / 4 ,blok,79.27,gdańsk,-1,"gdańsk, gdańsk, jasień, ",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,wtórny,tak ,4,1910,Sopot,4,-1,niepodległości,3 / 4 ,kamienica,107.0,centrum,-1,"sopot, centrum, niepodległości",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,2006,-1,4,-1,-1,3,-1,104.0,-1,-1,"Gdynia, Dąbrowa",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Piwnica, Miejsce parkingowe",-1
-1,pierwotny,-1,3,2021,Gdynia,4,dowykończenia,-1,1,apartamentowiec,79.05,-1,-1,"Gdynia, Mały Kack, ul. Fizylierów",otodom,silikat,Oferta dewelopera,miejskie,1,-1,-1,-1,-1
-1,-1,-1,7,2020,-1,2,-1,-1,2,-1,41.1,-1,-1,"Gdańsk, Wrzeszcz, Bogusława, Leśmiana",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Woda, Kanalizacja, Miejsce parkingowe",-1
-1,-1,-1,6,2018,-1,3,-1,-1,3,-1,85.0,-1,-1,"Gdańsk, Długie, Ogrody, Św, Barbary",trojmiasto,-1,-1,-1,-1,-1,-1,"Garaż, Winda, Kuchnia",-1
aneks,wtórny,tak ,5,2016,Gdańsk,2,bardzo wysoki standard,łąkowa,5 / 5 ,apartamentowiec,63.0,śródmieście,własność,"gdańsk, śródmieście, łąkowa",morizon,pustak,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,2,1901,-1,3,-1,-1,1,-1,80.0,-1,-1,"Gdańsk, Wrzeszcz, Lendziona, Antoniego",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
brak,wtórny,-1,4,2013,Gdańsk,3,dozamieszkania,-1,1,blok,60.48,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Jaworzniaków",otodom,-1,Oferta biura nieruchomości,miejskie,1,395.0,-1,-1,-1
-1,-1,-1,4,1970,-1,3,-1,-1,2,-1,57.0,-1,-1,"Gdańsk, Brzeźno, Dworska",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Piwnica, Miejsce parkingowe, Internet, Kuchnia",-1
-1,-1,-1,3,2019,-1,2,-1,-1,Parter,-1,48.3,-1,-1,"Gdańsk, Brzeźno, Nadmorski, Dwór",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Balkon, Garaż, Winda, Piwnica, Miejsce parkingowe, Kuchnia",-1
-1,-1,-1,13,2019,-1,2,-1,-1,7,-1,33.0,-1,-1,"Gdańsk, Brzeźno, Hallera, 225",trojmiasto,-1,-1,-1,-1,-1,Miejskie,-1,-1
-1,-1,-1,5,1960,-1,4,-1,-1,5,-1,100.0,-1,-1,"Gdańsk, Brzeźno, Plater, Emilii",trojmiasto,-1,-1,-1,-1,-1,C. o. miejskie,"Piwnica, Miejsce parkingowe, Internet, Kuchnia, Dwupoziomowe",-1
-1,wtórny,-1,3,1980,Gdynia,3,dozamieszkania,-1,2,blok,60.0,-1,-1,"Gdynia, Pogórze, Kleeberga",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,3,2005,-1,2,-1,-1,1,-1,45.6,-1,-1,"Sopot, Dolny, Sopot, Bolesława, Chrobrego",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,3,2010,Gdańsk,3,dozamieszkania,-1,3,blok,64.0,-1,-1,"Gdańsk, Ujeścisko-Łostowice, Łostowice",otodom,-1,Oferta biura nieruchomości,miejskie,0,460.0,-1,-1,-1
-1,-1,-1,3,2016,Gdańsk,3,-1,-1,3,blok,52.7,morena,-1,"Gdańsk,Morena,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1978,-1,2,-1,-1,4,-1,39.4,-1,-1,"Gdynia, Pogórze, Adm, Unruga",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,3,2012,-1,2,-1,-1,Parter,-1,47.55,-1,-1,"Gdańsk, Łostowice, Olimpijska",trojmiasto,-1,-1,-1,-1,-1,-1,"Ogródek, Miejsce parkingowe",-1
-1,wtórny,-1,4,1960,Gdynia,2,-1,nauczycielska,parter / 4 ,-1,35.29,witomino,-1,"gdynia, witomino, nauczycielska",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,6,2018,-1,2,-1,-1,3,-1,51.6,-1,-1,"Gdańsk, Śródmieście, Spichrzowa",trojmiasto,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,2019,Gdańsk,3,-1,-1,0,dom wielorodzinny/szeregowiec,58.0,olszynka,-1,"Gdańsk,Olszynka,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,4,1997,-1,3,-1,-1,Parter,-1,49.55,-1,-1,"Gdańsk, Zakoniczyn, Kazimierza, Porębskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Piwnica, Miejsce parkingowe",-1
-1,wtórny,-1,10,1980,Gdańsk,2,dozamieszkania,-1,1,blok,42.42,-1,-1,"Gdańsk, Suchanino, Macieja Kamieńskiego",otodom,wielka płyta,Oferta biura nieruchomości,miejskie,1,420.0,-1,-1,-1
-1,-1,-1,4,1974,-1,3,-1,-1,2,-1,45.2,-1,-1,"Gdynia, Obłuże, Boisko",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,-1,-1
brak,pierwotny,-1,3,2020,Gdynia,2,dowykończenia,-1,1,blok,33.01,-1,-1,"Gdynia, Oksywie, Nasypowa",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,4,1980,-1,2,-1,-1,1,-1,45.0,-1,-1,"Gdańsk, Przymorze, Śląska",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Garaż, Piwnica, Internet, Kuchnia",-1
brak,pierwotny,-1,3,2020,Gdańsk,3,dowykończenia,-1,1,blok,61.39,-1,-1,"Gdańsk, Chełm",otodom,-1,Oferta biura nieruchomości,miejskie,1,-1,-1,-1,-1
oddzielna,-1,-1,4,1975,Gdynia,2,dobry,-1,1,blok,44.0,chylonia,-1,"Gdynia,Chylonia,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,pierwotny,-1,2,2019,Gdańsk,4,deweloperski,morena,1 / 2 ,budynek wolnostojący,96.17,gdańsk,-1,"gdańsk, gdańsk, morena ",morizon,-1,-1,-1,-1,-1,-1,-1,-1
brak,pierwotny,-1,2,2020,Gdynia,4,-1,-1,1,-1,81.25,-1,-1,"Gdynia, Pogórze",otodom,-1,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
-1,-1,-1,3,1960,-1,2,-1,-1,3,-1,48.2,-1,-1,"Gdańsk, Śródmieście, Rajska",trojmiasto,-1,-1,-1,-1,-1,-1,"Balkon, Kuchnia",-1
brak,wtórny,-1,4,1978,Sopot,2,-1,-1,2,blok,43.1,-1,-1,"Sopot, Dolny, 3 Maja",otodom,inne,Oferta biura nieruchomości,-1,0,-1,-1,-1,-1
brak ,pierwotny,tak ,5,2020,Gdynia,3,-1,kielecka,2 / 5 ,-1,78.2,działki leśne,własność,"gdynia, działki leśne, kielecka",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,pierwotny,tak ,2,2016,Gdynia,4,-1,inżynierska,2 / 2 ,apartamentowiec,128.0,orłowo,-1,"gdynia, orłowo, inżynierska",morizon,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,1950,-1,1,-1,-1,1,-1,28.0,-1,-1,"Gdańsk, Przeróbka, Pastoriusza, Joachima",trojmiasto,-1,-1,-1,-1,-1,Elektryczne,"Piwnica, Miejsce parkingowe, Kuchnia",-1
oddzielna,-1,-1,2,1940,Gdynia,3,-1,-1,1,kamienica,73.15,wzgórześw.maksymiliana,-1,"Gdynia,WZGÓRZEŚW.MAKSYMILIANA,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,10,1981,-1,3,-1,-1,3,-1,67.0,-1,-1,"Gdańsk, Zaspa, Pilotów",trojmiasto,-1,-1,-1,-1,-1,-1,Winda,-1
-1,-1,-1,4,1940,-1,2,-1,-1,2,-1,51.0,-1,-1,"Gdynia, Oksywie",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Gaz, Woda, Kanalizacja, Piwnica",-1
-1,-1,-1,10,1976,-1,3,-1,-1,4,-1,60.7,-1,-1,"Gdynia, Chylonia, Kartuska",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Piwnica, Miejsce parkingowe",-1
-1,-1,-1,3,1996,-1,4,-1,-1,2,-1,80.5,-1,-1,"Gdynia, Cisowa, Zbożowa",trojmiasto,-1,-1,-1,-1,-1,-1,Kuchnia,-1
-1,-1,-1,4,1980,-1,2,-1,-1,1,-1,33.0,-1,-1,"Gdynia, Cisowa, Karola, Kurpińskiego",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Gaz, Woda, Kanalizacja, Piwnica, Miejsce parkingowe, Internet",-1
brak,wtórny,-1,4,1993,Gdańsk,3,dozamieszkania,-1,2,blok,64.7,-1,-1,"Gdańsk, Piecki-Migowo, Morena, Powstania Styczniowego",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,2,2011,-1,3,-1,-1,2,-1,74.0,-1,-1,"Gdynia, Chwarzno, Zaruskiego",trojmiasto,-1,-1,-1,-1,-1,Kotłownia,"Balkon, Garaż, Internet, Kuchnia, Kablówka, Komórka lokatorska",-1
-1,-1,-1,2,1980,-1,5,-1,-1,2,-1,96.51,-1,-1,"Gdynia, Oksywie, Jarowa",trojmiasto,-1,-1,-1,-1,-1,Gazowe,"Balkon, Garaż, Miejsce parkingowe, Internet, Kuchnia, Dwupoziomowe",-1
-1,-1,-1,8,2020,-1,2,-1,-1,1,-1,37.0,-1,-1,"Gdańsk, Śródmieście, Toruńska, 11",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,-1,-1
brak,wtórny,-1,3,1998,Gdynia,4,dozamieszkania,-1,3,blok,81.77,-1,-1,"Gdynia, Wielki Kack, Damroki",otodom,-1,Oferta biura nieruchomości,miejskie,0,-1,-1,-1,-1
-1,-1,-1,10,1976,-1,2,-1,-1,5,-1,35.1,-1,-1,"Gdańsk, Żabianka, Jakuba, Wejhera",trojmiasto,-1,-1,-1,-1,-1,Co miejskie,"Balkon, Winda, Piwnica",-1
w aneksie,-1,-1,6,2018,Gdańsk,3,-1,-1,3,apartamentowiec,86.0,śródmieście,-1,"Gdańsk,Śródmieście,pomorskie",gratka,-1,-1,-1,-1,-1,-1,-1,-1
brak,wtórny,-1,4,1960,Gdańsk,3,dozamieszkania,-1,2,blok,63.0,-1,-1,"Gdańsk, Siedlce, Zakopiańska",otodom,cegła,Oferta biura nieruchomości,miejskie,0,350.0,-1,-1,-1
